index	Npeaks	SP1	SP2	SP3	PeakWL1	PeakWL2	PeakWL3	Sinv11	Sinv12	Sinv13	Sinv21	Sinv22	Sinv23	Sinv31	Sinv32	Sinv33	FWHM1	FWHM2	FWHM3
34	1	51220	0	0	563.2522566	0	0	0.894320749	1.558092816	-5.713358528	0	0	0	0	0	0	25.53618211	0	0
35	1	51053	0	0	565.1690104	0	0	0.852168259	1.484067068	-5.415310976	0	0	0	0	0	0	28.11688423	0	0
36	1	50890	0	0	567.4254876	0	0	0.779067867	1.398410066	-4.970780383	0	0	0	0	0	0	30.02810167	0	0
37	1	50777	0	0	569.2472668	0	0	0.776319751	1.393168314	-4.923232758	0	0	0	0	0	0	30.40965112	0	0
38	1	22201	0	0	570.4586719	0	0	0.840041142	2.145668329	-6.419130989	0	0	0	0	0	0	23.57237805	0	0
39	1	50697	0	0	570.7580252	0	0	0.759151698	1.375092468	-4.776463651	0	0	0	0	0	0	30.39147775	0	0
40	1	50632	0	0	571.6910232	0	0	0.757882539	1.366256357	-4.724451867	0	0	0	0	0	0	30.45354899	0	0
41	1	50564	0	0	572.9153012	0	0	0.775180511	1.413201939	-4.853811652	0	0	0	0	0	0	29.85960829	0	0
42	1	20643	0	0	573.9204868	0	0	0.890419911	2.142332596	-6.5451341	0	0	0	0	0	0	23.56713956	0	0
43	1	50482	0	0	574.2907527	0	0	0.765581922	1.412175371	-4.840819988	0	0	0	0	0	0	29.19750642	0	0
44	1	50362	0	0	575.822164	0	0	0.754718188	1.422170717	-4.878659142	0	0	0	0	0	0	27.76049122	0	0
45	1	19185	0	0	576.7770928	0	0	0.958033135	2.284598334	-6.908239097	0	0	0	0	0	0	21.15300675	0	0
46	1	50206	0	0	577.6690341	0	0	0.779195932	1.478909148	-5.049721495	0	0	0	0	0	0	25.34130495	0	0
47	1	50052	0	0	578.9272132	0	0	0.759645741	1.444364833	-4.894060466	0	0	0	0	0	0	23.5528071	0	0
48	1	17528	0	0	579.0612833	0	0	0.884516266	2.173507241	-6.355734855	0	0	0	0	0	0	19.03180042	0	0
49	1	49893	0	0	580.3559782	0	0	0.793230366	1.518059037	-5.164996583	0	0	0	0	0	0	21.40124604	0	0
50	1	15919	0	0	580.8643622	0	0	0.90104456	2.304862459	-6.345597102	0	0	0	0	0	0	17.42149593	0	0
51	1	49733	0	0	581.3488428	0	0	0.781055938	1.504732254	-5.16274588	0	0	0	0	0	0	20.47096624	0	0
52	1	49543	0	0	582.7292078	0	0	0.751317323	1.442056666	-4.896550959	0	0	0	0	0	0	19.02937212	0	0
53	1	13697	0	0	582.798865	0	0	0.786753296	2.148232069	-5.302346642	0	0	0	0	0	0	16.36505308	0	0
54	1	49321	0	0	584.2438564	0	0	0.743875624	1.440271997	-4.976229583	0	0	0	0	0	0	18.26241369	0	0
55	1	11127	0	0	584.577535	0	0	0.702570403	2.016995336	-4.32210678	0	0	0	0	0	0	15.84827112	0	0
56	1	49088	0	0	585.3694778	0	0	0.733153851	1.369648179	-4.735854281	0	0	0	0	0	0	18.37784422	0	0
57	1	48839	0	0	586.9276645	0	0	0.724753728	0.986128871	-1.681801471	0	0	0	0	0	0	18.2243955	0	0
58	1	48560	0	0	588.6456362	0	0	0.728506244	0.937587866	-1.622649828	0	0	0	0	0	0	18.56222093	0	0
59	1	48253	0	0	590.5393079	0	0	0.744158985	0.88514816	-1.525211353	0	0	0	0	0	0	19.27394234	0	0
60	1	48094	0	0	591.3982859	0	0	0.760628926	0.835279746	-1.438857801	0	0	0	0	0	0	20.01336836	0	0
61	1	47889	0	0	592.81418	0	0	0.594304747	0.65094055	-1.113716978	0	0	0	0	0	0	20.46401659	0	0
62	1	47730	0	0	593.739605	0	0	0.603886231	0.603691722	-1.000897618	0	0	0	0	0	0	21.34032494	0	0
63	1	47591	0	0	594.8000063	0	0	0.612329433	0.606278442	-1.025343915	0	0	0	0	0	0	21.36901135	0	0
64	1	47417	0	0	596.1253968	0	0	0.624111123	0.561621636	-0.93260928	0	0	0	0	0	0	21.70120466	0	0
65	1	47210	0	0	597.4915382	0	0	0.611653059	0.489185586	-0.811610354	0	0	0	0	0	0	22.57745389	0	0
66	1	47034	0	0	598.7921007	0	0	0.622037276	0.478965799	-0.810232041	0	0	0	0	0	0	22.564328	0	0
67	1	46815	0	0	600.3957949	0	0	0.63670834	0.421133211	-0.719467142	0	0	0	0	0	0	22.66214846	0	0
68	1	46599	0	0	601.9699517	0	0	0.652610458	0.345805132	-0.615268858	0	0	0	0	0	0	22.63540382	0	0
69	1	46437	0	0	602.9370401	0	0	0.664102958	0.295490915	-0.55696577	0	0	0	0	0	0	22.9356541	0	0
70	1	46187	0	0	604.6604077	0	0	0.680739218	0.197931137	-0.420885807	0	0	0	0	0	0	22.71804056	0	0
71	1	45962	0	0	606.2737153	0	0	0.693497032	0.118823297	-0.313910699	0	0	0	0	0	0	22.45792472	0	0
72	1	45752	0	0	607.8110214	0	0	0.707229899	0.044270126	-0.199692953	0	0	0	0	0	0	22.35700311	0	0
73	1	45496	0	0	609.2273508	0	0	0.720774398	-0.020241672	-0.099332596	0	0	0	0	0	0	22.91106782	0	0
74	1	45254	0	0	610.8901883	0	0	0.729344654	-0.067854852	-0.034539597	0	0	0	0	0	0	22.84102075	0	0
75	1	45061	0	0	612.2236991	0	0	0.739095114	-0.082160264	-0.006386986	0	0	0	0	0	0	22.7860098	0	0
