index	Npeaks	SP1	SP2	SP3	PeakWL1	PeakWL2	PeakWL3	Sinv11	Sinv12	Sinv13	Sinv21	Sinv22	Sinv23	Sinv31	Sinv32	Sinv33	FWHM1	FWHM2	FWHM3
0	1	53506	0	0	695.9738452	0	0	0.746581945	0.746581945	0.746581945	0	0	0	0	0	0	30.93814177	0	0
1	1	53506	0	0	695.9738452	0	0	0.746581945	0.746581945	0.746581945	0	0	0	0	0	0	30.93814177	0	0
2	1	53474	0	0	696.5177541	0	0	0.748715797	0.748715797	0.748715797	0	0	0	0	0	0	30.70235625	0	0
3	1	53443	0	0	697.0142294	0	0	0.748562313	0.748562313	0.748562313	0	0	0	0	0	0	30.75255492	0	0
4	1	53406	0	0	697.8388904	0	0	0.749183279	0.749183279	0.749183279	0	0	0	0	0	0	30.71341855	0	0
5	1	53369	0	0	698.4397829	0	0	0.746768858	0.746768858	0.746768858	0	0	0	0	0	0	30.64261763	0	0
6	1	53324	0	0	699.2120027	0	0	0.748185315	0.748185315	0.748185315	0	0	0	0	0	0	30.50172111	0	0
7	1	53267	0	0	700.3681425	0	0	0.745622963	0.745622963	0.745622963	0	0	0	0	0	0	30.14835899	0	0
8	1	53204	0	0	701.3626471	0	0	0.778601874	0.778601874	0.778601874	0	0	0	0	0	0	29.89283578	0	0
9	1	53127	0	0	702.699153	0	0	0.775326108	0.775326108	0.775326108	0	0	0	0	0	0	29.17794853	0	0
10	1	53047	0	0	704.0472836	0	0	0.773297916	0.773297916	0.773297916	0	0	0	0	0	0	28.64154628	0	0
11	1	52971	0	0	705.1396792	0	0	0.772186172	0.772186172	0.772186172	0	0	0	0	0	0	28.40290843	0	0
12	1	52894	0	0	706.430734	0	0	0.767808077	0.767808077	0.767808077	0	0	0	0	0	0	27.81992806	0	0
13	1	52818	0	0	707.5179887	0	0	0.766913588	0.766913588	0.766913588	0	0	0	0	0	0	27.83281096	0	0
14	1	52735	0	0	708.8201956	0	0	0.762761915	0.762761915	0.762761915	0	0	0	0	0	0	27.24806137	0	0
15	1	52670	0	0	709.6242043	0	0	0.761968164	0.761968164	0.761968164	0	0	0	0	0	0	27.34661845	0	0
16	1	52576	0	0	711.0000254	0	0	0.760171349	0.760171349	0.760171349	0	0	0	0	0	0	26.85256957	0	0
17	1	52482	0	0	712.3846959	0	0	0.757793513	0.757793513	0.757793513	0	0	0	0	0	0	26.50577862	0	0
18	1	52386	0	0	713.6188795	0	0	0.755700381	0.755700381	0.755700381	0	0	0	0	0	0	26.74199812	0	0
19	1	52275	0	0	715.113878	0	0	0.754258397	0.754258397	0.754258397	0	0	0	0	0	0	26.37634962	0	0
20	1	52164	0	0	716.5981701	0	0	0.753871822	0.753871822	0.753871822	0	0	0	0	0	0	26.20802433	0	0
21	1	52064	0	0	717.9418594	0	0	0.752551683	0.752551683	0.752551683	0	0	0	0	0	0	26.13935267	0	0
22	1	51931	0	0	719.5098051	0	0	0.755334872	0.755334872	0.755334872	0	0	0	0	0	0	26.61610174	0	0
23	1	51811	0	0	721.0083317	0	0	0.757691721	0.757691721	0.757691721	0	0	0	0	0	0	26.58153608	0	0
24	1	51680	0	0	722.7570446	0	0	0.758938102	0.758938102	0.758938102	0	0	0	0	0	0	26.84194763	0	0
25	1	51545	0	0	724.4711123	0	0	0.764289205	0.764289205	0.764289205	0	0	0	0	0	0	27.11282375	0	0
26	1	51402	0	0	726.4006888	0	0	0.767192498	0.767192498	0.767192498	0	0	0	0	0	0	27.66893726	0	0
27	1	51220	0	0	728.7928011	0	0	0.774962418	0.774962418	0.774962418	0	0	0	0	0	0	28.37251139	0	0
28	1	51053	0	0	730.9628162	0	0	0.781051702	0.781051702	0.781051702	0	0	0	0	0	0	28.92325637	0	0
29	1	50890	0	0	733.1221873	0	0	0.788246068	0.788246068	0.788246068	0	0	0	0	0	0	29.23268068	0	0
30	1	50777	0	0	734.7216809	0	0	0.792158161	0.792158161	0.792158161	0	0	0	0	0	0	29.25528885	0	0
31	1	50697	0	0	735.9350455	0	0	0.795712744	0.795712744	0.795712744	0	0	0	0	0	0	29.16523486	0	0
32	1	50632	0	0	736.702733	0	0	0.798140036	0.798140036	0.798140036	0	0	0	0	0	0	29.30022349	0	0
33	1	50564	0	0	737.7109515	0	0	0.803281419	0.803281419	0.803281419	0	0	0	0	0	0	29.01251715	0	0
34	1	50482	0	0	738.7581953	0	0	0.805015751	0.805015751	0.805015751	0	0	0	0	0	0	29.0922337	0	0
